NUMERO_MANDATO;BENEFICIARIO;PARTITA_IVA_O_CF;IMPORTO;ATTO_DI_IMPEGNO;DIREZIONE_SERVIZIO_RESP_PROC;DOCUMENTO
019933;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;643,51;DD/12/006561;DIR.SERV.SOCIALI;FATTURA
019935;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;643,51;DD/12/007082;DIR.SERV.SOCIALI;FATTURA
021801;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;349794,42;DD/12/007254;S.FAMIGLIA E ACCOGL.;FATTURA
021792;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;17182;DD/12/007682;DIR.SERV.SOCIALI;FATTURA
021800;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;286669,07;DD/12/006517;S.FAMIGLIA E ACCOGL.;FATTURA
021802;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;6928,61;DD/11/010019;DIR.SERV.SOCIALI;FATTURA
021799;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;63125,35;DD/12/006517;S.FAMIGLIA E ACCOGL.;FATTURA
014185;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;765,56;DD/11/011449;DIR.SERV.SOCIALI;FATTURA
014185;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;-6,75;DD/11/011449;DIR.SERV.SOCIALI;NOTA DI CREDITO
014185;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;184,81;DD/11/011449;DIR.SERV.SOCIALI;FATTURA
014185;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;15,5;DD/11/011449;DIR.SERV.SOCIALI;FATTURA
014197;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;530,31;DD/12/002222;DIR.SERV.SOCIALI;FATTURA
014197;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;3157,06;DD/12/002222;DIR.SERV.SOCIALI;FATTURA
014197;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;796,31;DD/12/002222;DIR.SERV.SOCIALI;FATTURA
014198;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;531,81;DD/12/003382;DIR.SERV.SOCIALI;FATTURA
014198;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;3199,81;DD/12/003382;DIR.SERV.SOCIALI;FATTURA
014198;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;864,81;DD/12/003382;DIR.SERV.SOCIALI;FATTURA
014185;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;3387,06;DD/11/011449;DIR.SERV.SOCIALI;FATTURA
014185;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;561,06;DD/11/011449;DIR.SERV.SOCIALI;FATTURA
014196;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;10,5;DD/11/011449;DIR.SERV.SOCIALI;FATTURA
014196;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;1;DD/11/011449;DIR.SERV.SOCIALI;FATTURA
014196;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;3;DD/11/011449;DIR.SERV.SOCIALI;FATTURA
014196;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;7,5;DD/11/011449;DIR.SERV.SOCIALI;FATTURA
014203;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;4000;DD/11/011370;DIR.SERV.SOCIALI;FATTURA
014196;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;-3,75;DD/11/011449;DIR.SERV.SOCIALI;NOTA DI CREDITO
020180;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;8333,33;DD/12/005384;DIR.SERV.SOCIALI;FATTURA
020178;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;8333,33;DD/12/003380;DIR.SERV.SOCIALI;FATTURA
020179;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;8333,33;DD/12/004344;DIR.SERV.SOCIALI;FATTURA
017919;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;4345,02;DD/12/004351;DIR.SERV.SOCIALI;FATTURA
017919;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;7050,86;DD/12/004351;DIR.SERV.SOCIALI;FATTURA
017922;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;6486,16;DD/12/004351;DIR.SERV.SOCIALI;FATTURA
017930;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;5927,67;DD/12/005420;DIR.SERV.SOCIALI;FATTURA
017919;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;5339,96;DD/12/004351;DIR.SERV.SOCIALI;FATTURA
017919;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;3082,3;DD/12/004351;DIR.SERV.SOCIALI;FATTURA
020196;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;4308,69;DD/12/006628;DIR.SERV.SOCIALI;FATTURA
014451;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;339336,92;DD/12/003061;S.FAMIGLIA E ACCOGL.;FATTURA
018058;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;3468,48;DD/10/008480;DIR.SERV.SOCIALI;FATTURA
014596;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;76,31;DD/12/005870;DIR.SERV.SOCIALI;FATTURA
014596;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;4209,13;DD/12/005870;DIR.SERV.SOCIALI;FATTURA
014596;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;5242,67;DD/12/005870;DIR.SERV.SOCIALI;FATTURA
014596;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;2635,87;DD/12/005870;DIR.SERV.SOCIALI;FATTURA
014596;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;520,31;DD/12/005870;DIR.SERV.SOCIALI;FATTURA
014596;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;345,25;DD/12/005870;DIR.SERV.SOCIALI;FATTURA
014596;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;-140;DD/12/005870;DIR.SERV.SOCIALI;NOTA DI CREDITO
014596;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;-6844,2;DD/12/005870;DIR.SERV.SOCIALI;NOTA DI CREDITO
014596;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;20832,64;DD/12/005870;DIR.SERV.SOCIALI;FATTURA
014596;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;570,69;DD/12/005870;DIR.SERV.SOCIALI;FATTURA
014596;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;11899,12;DD/12/005870;DIR.SERV.SOCIALI;FATTURA
014596;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;-3033,59;DD/12/005870;DIR.SERV.SOCIALI;NOTA DI CREDITO
014596;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;-671,4;DD/12/005870;DIR.SERV.SOCIALI;NOTA DI CREDITO
014596;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;7784,98;DD/12/005870;DIR.SERV.SOCIALI;FATTURA
014596;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;4412,49;DD/12/005870;DIR.SERV.SOCIALI;FATTURA
014596;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;11709,37;DD/12/005870;DIR.SERV.SOCIALI;FATTURA
014596;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;28747,14;DD/12/005870;DIR.SERV.SOCIALI;FATTURA
014596;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;1512,44;DD/12/005870;DIR.SERV.SOCIALI;FATTURA
014596;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;23259,88;DD/12/005870;DIR.SERV.SOCIALI;FATTURA
020378;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;9434,26;DD/12/009305;DIR.SERV.SOCIALI;FATTURA
020475;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;3164,81;DD/12/006612;DIR.SERV.SOCIALI;FATTURA
020475;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;359,38;DD/12/006612;DIR.SERV.SOCIALI;FATTURA
020481;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;2619,56;DD/12/006628;DIR.SERV.SOCIALI;FATTURA
020474;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;113,81;DD/12/005437;DIR.SERV.SOCIALI;FATTURA
020481;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;6274,4;DD/12/006628;DIR.SERV.SOCIALI;FATTURA
020481;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;3474,45;DD/12/006628;DIR.SERV.SOCIALI;FATTURA
020474;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;250,93;DD/12/005437;DIR.SERV.SOCIALI;FATTURA
020475;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;975,81;DD/12/006612;DIR.SERV.SOCIALI;FATTURA
020481;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;3897,97;DD/12/006628;DIR.SERV.SOCIALI;FATTURA
020518;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;3623,47;DD/12/007533;DIR.SERV.SOCIALI;FATTURA
020518;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;2337,21;DD/12/007533;DIR.SERV.SOCIALI;FATTURA
020519;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;1699,3;DD/12/007533;DIR.SERV.SOCIALI;FATTURA
020535;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;8333,33;DD/12/007537;DIR.SERV.SOCIALI;FATTURA
020536;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;8333,33;DD/12/008368;DIR.SERV.SOCIALI;FATTURA
020518;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;6548,91;DD/12/007533;DIR.SERV.SOCIALI;FATTURA
020518;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;3302,88;DD/12/007533;DIR.SERV.SOCIALI;FATTURA
020529;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;10000;DD/12/003715;DIR.SERV.SOCIALI;FATTURA
020534;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;8333,33;DD/12/006648;DIR.SERV.SOCIALI;FATTURA
020568;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;3,24;DD/12/001005;DIR.SERV.SOCIALI;FATTURA
020569;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;846,33;DD/12/002833;DIR.SERV.SOCIALI;FATTURA
018592;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;576,31;DD/12/005437;DIR.SERV.SOCIALI;FATTURA
018592;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;-33;DD/12/005437;DIR.SERV.SOCIALI;NOTA DI CREDITO
018592;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;-13;DD/12/005437;DIR.SERV.SOCIALI;NOTA DI CREDITO
018592;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;865,81;DD/12/005437;DIR.SERV.SOCIALI;FATTURA
018590;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;481,81;DD/11/008152;DIR.SERV.SOCIALI;FATTURA
018592;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;1;DD/12/005437;DIR.SERV.SOCIALI;FATTURA
018592;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;3233,31;DD/12/005437;DIR.SERV.SOCIALI;FATTURA
018591;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;33,91;DD/11/011449;DIR.SERV.SOCIALI;FATTURA
018592;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;-103,81;DD/12/005437;DIR.SERV.SOCIALI;NOTA DI CREDITO
018592;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;-103,81;DD/12/005437;DIR.SERV.SOCIALI;NOTA DI CREDITO
018592;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;74,5;DD/12/005437;DIR.SERV.SOCIALI;FATTURA
018590;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;287,9;DD/11/008152;DIR.SERV.SOCIALI;FATTURA
022689;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;137,95;DD/12/005437;DIR.SERV.SOCIALI;FATTURA
022690;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;3164,81;DD/12/007545;DIR.SERV.SOCIALI;FATTURA
022690;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;997,81;DD/12/007545;DIR.SERV.SOCIALI;FATTURA
022688;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;193,86;DD/11/011449;DIR.SERV.SOCIALI;FATTURA
022690;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;267,5;DD/12/007545;DIR.SERV.SOCIALI;FATTURA
016630;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;622,81;DD/12/005278;DIR.SERV.SOCIALI;FATTURA
016629;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;643,51;DD/12/004133;DIR.SERV.SOCIALI;FATTURA
015192;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;349794,42;DD/12/004196;S.FAMIGLIA E ACCOGL.;FATTURA
021027;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;43,5;DD/12/009305;DIR.SERV.SOCIALI;FATTURA
021027;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;10831,6;DD/12/009305;DIR.SERV.SOCIALI;FATTURA
021027;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;3737,71;DD/12/009305;DIR.SERV.SOCIALI;FATTURA
021027;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;4945,9;DD/12/009305;DIR.SERV.SOCIALI;FATTURA
021027;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;1589,11;DD/12/009305;DIR.SERV.SOCIALI;FATTURA
021027;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;6936,46;DD/12/009305;DIR.SERV.SOCIALI;FATTURA
021027;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;4270,21;DD/12/009305;DIR.SERV.SOCIALI;FATTURA
021027;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;29122,83;DD/12/009305;DIR.SERV.SOCIALI;FATTURA
021027;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;1463,71;DD/12/009305;DIR.SERV.SOCIALI;FATTURA
021027;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;26211,86;DD/12/009305;DIR.SERV.SOCIALI;FATTURA
021027;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;21647,91;DD/12/009305;DIR.SERV.SOCIALI;FATTURA
021027;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;18754,51;DD/12/009305;DIR.SERV.SOCIALI;FATTURA
021027;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;377,01;DD/12/009305;DIR.SERV.SOCIALI;FATTURA
021030;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;2000;DD/12/006669;DIR.SERV.SOCIALI;FATTURA
021029;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;24668,48;DD/12/006669;DIR.SERV.SOCIALI;FATTURA
021027;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;-474,31;DD/12/009305;DIR.SERV.SOCIALI;NOTA DI CREDITO
021027;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;-82,66;DD/12/009305;DIR.SERV.SOCIALI;NOTA DI CREDITO
021027;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;-162,11;DD/12/009305;DIR.SERV.SOCIALI;NOTA DI CREDITO
021027;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;526,93;DD/12/009305;DIR.SERV.SOCIALI;FATTURA
021027;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;1569,81;DD/12/009305;DIR.SERV.SOCIALI;FATTURA
021027;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;100,87;DD/12/009305;DIR.SERV.SOCIALI;FATTURA
021027;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;474,31;DD/12/009305;DIR.SERV.SOCIALI;FATTURA
018926;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;130000;DD/12/005706;DIR.SERV.SOCIALI;FATTURA
021215;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;60;DD/12/004350;DIR.SERV.SOCIALI;FATTURA
021214;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;2000;DD/12/004350;DIR.SERV.SOCIALI;FATTURA
021218;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;1281,81;DD/12/006669;DIR.SERV.SOCIALI;FATTURA
021218;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;49335,14;DD/12/006669;DIR.SERV.SOCIALI;FATTURA
021218;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;-1361,81;DD/12/006669;DIR.SERV.SOCIALI;NOTA DI CREDITO
021220;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;4000;DD/12/006669;DIR.SERV.SOCIALI;FATTURA
021211;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;4000;DD/11/011370;DIR.SERV.SOCIALI;FATTURA
021212;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;2000;DD/12/002223;DIR.SERV.SOCIALI;FATTURA
021213;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;2000;DD/12/003346;DIR.SERV.SOCIALI;FATTURA
021210;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;841,28;DD/12/003346;DIR.SERV.SOCIALI;FATTURA
021215;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;121,81;DD/12/004350;DIR.SERV.SOCIALI;FATTURA
021215;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;1260,53;DD/12/004350;DIR.SERV.SOCIALI;FATTURA
021216;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;1580;DD/12/005433;DIR.SERV.SOCIALI;FATTURA
021217;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;2000;DD/12/005433;DIR.SERV.SOCIALI;FATTURA
023137;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;497,38;DD/12/008370;DIR.SERV.SOCIALI;FATTURA
023137;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;3204,81;DD/12/008370;DIR.SERV.SOCIALI;FATTURA
023137;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;997,81;DD/12/008370;DIR.SERV.SOCIALI;FATTURA
023129;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;2337,21;DD/12/008517;DIR.SERV.SOCIALI;FATTURA
023129;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;4039,15;DD/12/008517;DIR.SERV.SOCIALI;FATTURA
023129;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;6263,93;DD/12/008517;DIR.SERV.SOCIALI;FATTURA
023129;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;3811,01;DD/12/008517;DIR.SERV.SOCIALI;FATTURA
023124;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;5278,34;DD/12/008517;DIR.SERV.SOCIALI;FATTURA
023138;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;79,3;DD/12/009502;DIR.SERV.SOCIALI;FATTURA
023136;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;69,88;DD/12/007545;DIR.SERV.SOCIALI;FATTURA
023309;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;665,82;DD/12/004980;DIR.SERV.SOCIALI;FATTURA
023307;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;153,67;DD/12/002833;DIR.SERV.SOCIALI;FATTURA
023512;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;176339,04;DD/12/007254;S.FAMIGLIA E ACCOGL.;FATTURA
023513;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;162997,88;DD/12/007254;S.FAMIGLIA E ACCOGL.;FATTURA
023550;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;89000;DD/11/007548;S.FAMIGLIA E ACCOGL.;FATTURA
021575;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;434,24;DD/11/004292;DIR.SERV.SOCIALI;FATTURA
021574;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;290,67;DD/11/003330;DIR.SERV.SOCIALI;FATTURA
021573;ASP FIRENZE MONTEDOMINIEX S.AMBROGIO/FULIGNO/BIGALLO;03297220489;1000;DD/10/010771;DIR.SERV.SOCIALI;FATTURA
023865;ASS. CENTRO GUIDE TURISMO;04625640489;600;DD/12/007615;UFFICIO DI GABINETTO;FATTURA
023864;ASS. CENTRO GUIDE TURISMO;04625640489;300;DD/12/005759;UFFICIO DI GABINETTO;FATTURA
015853;ASS. CENTRO GUIDE TURISMO;04625640489;250;DD/12/001640;UFFICIO DI GABINETTO;FATTURA
016863;ASS. CULT LA STANZA DELL'ATTORE;06057610484;1297;DD/11/010002;S.ATT.EDUC.E FORMAT.;FATTURA
016862;ASS. CULT LA STANZA DELL'ATTORE;06057610484;300;DD/11/010002;S.ATT.EDUC.E FORMAT.;FATTURA
023775;ASS. CULT LA STANZA DELL'ATTORE;06057610484;968;DD/12/005672;SERV.BIBL.ARCH.EVENT;FATTURA
023270;ASS. IT. BIBLIOTECHE-SEZ. EMILIA R.;01132481001;115;DD/12/009156;DIREZ. RISORSE UMANE;FATTURA
018401;ASS. LIBERA INFORMATICA A.P.S.;06014910480;4580;DD/11/010898;S.ATT.EDUC.E FORMAT.;FATTURA
015833;ASS. LIBERA INFORMATICA A.P.S.;06014910480;3929,83;DD/11/008213;GEST.CANALI COMUNICAZ;FATTURA
017200;ASS.CULTURALE TETHYS;04902070483;8989;DD/11/010898;S.ATT.EDUC.E FORMAT.;FATTURA
020462;ASSISTENZA MINORATI GRAVIMISERICORDIA DI FIRENZE;05675240484;7148,95;DD/12/006560;S.FAMIGLIA E ACCOGL.;FATTURA
020497;ASSISTENZA MINORATI GRAVIMISERICORDIA DI FIRENZE;05675240484;7148,95;DD/12/007084;S.FAMIGLIA E ACCOGL.;FATTURA
